0.01,0.02,0.03,0.04,0.05
0.8434343434,0.8341750842,0.8611111111,0.7643097643,0.7104377104
0.8409090909,0.7878787879,0.6877104377,0.8787878788,0.7634680135
0.8257575758,0.8543771044,0.8358585859,0.867003367,0.8518518519
0.8543771044,0.8451178451,0.8417508418,0.8754208754,0.7904040404
0.7668350168,0.8636363636,0.7760942761,0.8695286195,0.8341750842
0.8451178451,0.8518518519,0.8417508418,0.7929292929,0.8493265993
0.8434343434,0.8543771044,0.7887205387,0.7794612795,0.867003367
0.8417508418,0.8661616162,0.8451178451,0.7836700337,0.8804713805
0.8249158249,0.8712121212,0.7693602694,0.7281144781,0.7685185185
0.8417508418,0.8695286195,0.8661616162,0.7786195286,0.7937710438
0.7407407407,0.8636363636,0.8291245791,0.7011784512,0.7887205387
0.8493265993,0.8577441077,0.7929292929,0.8695286195,0.6531986532
0.8383838384,0.8653198653,0.8762626263,0.7920875421,0.8644781145
0.8409090909,0.7415824916,0.7853535354,0.7676767677,0.7567340067
0.8409090909,0.8611111111,0.8720538721,0.8787878788,0.7542087542
0.6414141414,0.8518518519,0.7407407407,0.7895622896,0.8653198653
0.8400673401,0.7575757576,0.8425925926,0.8080808081,0.7651515152
0.7516835017,0.8409090909,0.7651515152,0.8745791246,0.7895622896
0.8324915825,0.8207070707,0.7643097643,0.8602693603,0.7676767677
0.8425925926,0.7634680135,0.8636363636,0.7449494949,0.781986532
